SRN,frame#,ID,Class,X_min,Y_min,X_max,Y_max,Time,Speed
493,69,11,Car,801,593,1063,843,2.3,46.68
494,70,2,Car,373,250,529,368,2.3333,3.99
495,70,3,Car,1215,457,1472,691,2.3333,32.97
496,70,4,Car,631,415,886,643,2.3333,25.4
497,70,6,Car,905,759,1225,1056,2.3333,14.3
498,70,9,Car,517,271,647,365,2.3333,2.88
499,70,11,Car,806,599,1068,848,2.3333,28.15
500,71,2,Car,374,251,532,369,2.3667,7.91
501,71,3,Car,1220,463,1476,693,2.3667,30.26
502,71,4,Car,635,418,888,647,2.3667,19.26
503,71,6,Car,909,770,1229,1067,2.3667,42.65
504,71,9,Car,518,268,652,365,2.3667,9.82
505,71,11,Car,810,606,1074,855,2.3667,30.92
506,72,2,Car,375,252,534,371,2.4,7.98
507,72,3,Car,1225,468,1486,699,2.4,28.04
508,72,4,Car,642,426,892,650,2.4,39.32
509,72,6,Car,918,784,1232,1073,2.4,60.01
510,72,9,Car,523,267,658,365,2.4,20.62
511,72,11,Car,807,615,1084,878,2.4,34.39
512,73,2,Car,376,253,535,372,2.4333,8.12
513,73,3,Car,1225,467,1499,708,2.4333,3.26
514,73,4,Car,646,429,896,654,2.4333,21.83
515,73,6,Car,923,791,1233,1073,2.4333,33.07
516,73,9,Car,527,268,658,364,2.4333,15.17
517,73,11,Car,808,616,1091,888,2.4333,8.33
518,74,2,Car,378,253,536,371,2.4667,9.47
519,74,3,Car,1223,466,1511,720,2.4667,7.29
